program_name,state,city,zip_codes,source_type,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Residential Clean Energy Credit,United States,Statewide,All Florida ZIP Codes,federal,Tax Credits,Residential,"Provides a 30% tax credit for the costs of new, qualified clean energy property for homes installed from 2022 through December 31, 2025.","Homeowners with a main home located in the United States, where they live most of the time. The credit applies to new or existing homes, but not for business use or for fuel cell property in a second home or outside the United States.",30% of costs,"December 31, 2025",2026-05-29,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit
Energy Efficient Home Improvement Credit,All United States,Statewide,All Florida ZIP Codes,federal,Tax Credits,Residential,"Provides tax credits up to $3,200 for energy-efficient home improvements, including building envelope components, home energy audits, and residential energy property.","Homeowners with a main home located in the United States, existing homes that are owner-occupied, and primary residences. Home energy audits must meet specific requirements, including a written report and inspection.","$3,200","December 31, 2025",2026-05-29,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit
My Safe Florida Home Program,Florida,Statewide,All Florida ZIP Codes,state,Grants,Residential,"Provides free wind-mitigation inspections and up to $10,000 in grant assistance for approved upgrades to strengthen homes against hurricanes.","Homeowners with no specified income limits, owner-occupied single-family homes, current on property taxes and mortgage payments","$10,000",,2026-05-29,No,https://mysafeflhome.com/
Florida Energy Saver Program,Florida,Statewide,All Florida ZIP Codes,state,Rebates,,"Provides rebates for energy efficiency upgrades through qualified contractors, targeting low-and-moderate income households.","Low-and-moderate income households, household income requirements",,,2026-05-29,No,https://floridaenergysaverprogram.fdacs.gov/
State Housing Initiatives Partnership (SHIP),Florida,Statewide,All Florida ZIP Codes,state,Grants,"Multifamily, Homeownership","Provides funds to local governments to create partnerships that produce and preserve affordable homeownership and multifamily housing, serving very low-, low- and moderate-income families.","Local governments must establish a local housing assistance program and a local housing assistance plan (LHAP). Homeowners with household income at or below 140% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments. At least 30% of funds reserved for very-low income households (up to 50% of AMI), 30% for low-income households (up to 80% of AMI), and remaining funds for households up to 140% of AMI.","Minimum allocation is $350,000 per county",,2026-05-29,No,https://www.floridahousing.org/programs/special-programs/ship---state-housing-initiatives-partnership-program
State Housing Initiatives Partnership (SHIP),Florida,Statewide,All Florida ZIP Codes,state,,"Multifamily, Homeownership","Provides funds to local governments to create partnerships for affordable homeownership and multifamily housing, serving very low, low and moderate income families.","Very low, low and moderate income families",,,2026-05-29,No,https://www.floridahousing.org/buyers-renters/local-housing-programs
PACE Program,Florida,Pasco County,"33523, 33525, 33526, 33537, 33540, 33541, 33542, 33543, 33544, 33545, 34610, 34638, 34639, 34652, 34653, 34654, 34655, 34667, 34668, 34669, 34679, 34690, 34691",pace,Finance Solutions,Residential,"Provides forgivable loans up to $20,000 for low-income homeowners to finance energy efficiency improvements, renewable energy improvements, and wind resistance improvements.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments, no involuntary liens, no notices of default, and no delinquent property taxes for the last 3 years.","Up to $20,000",,2026-05-29,No,https://www.pascotaxes.com/faqs/pace-program/
Rebuilding for Tomorrow Program,Florida,Tampa,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",city_government,Grants,Residential,"Provides up to $350,000 to replace or rebuild storm-damaged housing, $10,000-$50,000 in eligible reimbursement costs for permitted work, or up to $150,000 in repairs.","Income-eligible residents within the City of Tampa city limits, earning up to 120% of Area Median Income ($100,080 annual household income for a two-person household), with priority given to those earning 80% or less of Area Median Income ($66,800 annual household income for a two-person household).","$350,000, $10,000-$50,000, $150,000",,2026-05-29,No,https://www.tampa.gov/housing-and-community-development
Dare to Own the Dream Homeownership Program,Florida,Tampa,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",city_government,Grants,Residential,"Provides up to $40,000 in down payment assistance loans to income eligible first time homebuyers to achieve the dream of homeownership.","Homebuyers with income at or below income eligible, first-time homebuyers, property within City limits of Tampa","$40,000",,2026-05-29,No,https://www.tampa.gov/housing-and-community-development/programs/residential-services
Housing Rehabilitation and Renovation Program (HRRP),Florida,Tampa,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33620, 33621, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",city_government,,,,,,Summer 2026,2026-05-29,Yes,https://www.tampa.gov/housing-and-community-development/apply-housing-rehabilitation-renovation-program-hrrp
